Principal Component,Explained Variance Ratio,Cumulative Explained Variance
469,0.00030199716279264696,0.9330437227201409
470,0.0003016364995944288,0.9333453592197354
471,0.00030046553558934455,0.9336458247553248
472,0.0002994510904247791,0.9339452758457495
473,0.00029886056020763513,0.9342441364059572
474,0.0002976714139007557,0.934541807819858
475,0.00029736616134867734,0.9348391739812066
476,0.0002969322194301628,0.9351361062006368
477,0.00029532265706783074,0.9354314288577046
478,0.0002947517638990577,0.9357261806216036
479,0.00029378046274129867,0.9360199610843449
480,0.0002932733799436194,0.9363132344642886
481,0.0002924386939558256,0.9366056731582444
482,0.0002912595808593797,0.9368969327391038
483,0.0002906052622599407,0.9371875380013638
484,0.00029010705741882746,0.9374776450587826
485,0.00028984594416163397,0.9377674910029442
486,0.0002887740854358129,0.93805626508838
487,0.0002882658825744974,0.9383445309709545
488,0.0002872715827672788,0.9386318025537218
489,0.00028691073959991845,0.9389187132933218
490,0.00028679420890186417,0.9392055075022236
491,0.0002854120322865815,0.9394909195345102
492,0.0002848329570387531,0.939775752491549
493,0.0002840926648273337,0.9400598451563763
494,0.00028342753764158023,0.9403432726940179
495,0.0002828889926515086,0.9406261616866693
496,0.00028248373215509814,0.9409086454188245
497,0.00028164728914637665,0.9411902927079708
498,0.00028090379248288145,0.9414711965004537
499,0.0002806028536588697,0.9417517993541126
500,0.0002800499363592471,0.9420318492904718
501,0.0002789390293778702,0.9423107883198497
502,0.00027848514984767363,0.9425892734696973
503,0.000277421380859992,0.9428666948505573
504,0.00027681511802267206,0.94314350996858
505,0.000276701377858474,0.9434202113464385
506,0.00027589711498004045,0.9436961084614185
507,0.0002750181154169256,0.9439711265768355
508,0.000274292491322896,0.9442454190681584
509,0.00027379621109538605,0.9445192152792538
510,0.0002731250530292376,0.944792340332283
511,0.00027296707647693675,0.9450653074087599
512,0.0002722448478014802,0.9453375522565615
513,0.00027183556232312925,0.9456093878188846
514,0.00027017112706354587,0.9458795589459481
515,0.0002700613458860017,0.9461496202918341
516,0.00026934398341617636,0.9464189642752503
517,0.00026836735236168474,0.946687331627612
518,0.0002676114317882177,0.9469549430594002
519,0.0002672177046333706,0.9472221607640335
520,0.00026714541748797035,0.9474893061815215
521,0.00026635826530317305,0.9477556644468247
522,0.0002653610910469916,0.9480210255378717
523,0.0002649438552325035,0.9482859693931042
524,0.0002643036609969647,0.9485502730541011
